block,x,y,width,height,rotated
b0,161,175.341446492,43,33,0
b1,379,115.341446492,65,37,0
b2,108,183.341446492,53,34,0
b3,88,122.341446492,67,37,1
b4,60,41.341446492,29,19,0
b5,258,175.341446492,49,39,1
b6,0,384.341446492,40,18,0
b7,84,307.341446492,40,22,1
b8,196,245.341446492,62,50,1
b9,89,41.341446492,41,16,1
b10,177,50.341446492,52,18,1
b11,0,188.341446492,59,39,1
b12,149,217.341446492,61,28,0
b13,0,76.341446492,57,48,1
b14,210,325.341446492,63,43,0
b15,385,247.341446492,59,52,0
b16,273,327.341446492,57,36,1
b17,321,71.341446492,66,44,1
b18,55,401.341446492,51,48,1
b19,402,216.341446492,50,31,1
b20,280,52.341446492,37,19,0
b21,211,0.341446492,64,50,0
b22,59,183.341446492,49,34,0
b23,239,305.341446492,49,20,1
b24,357,216.341446492,45,28,0
b25,204,178.341446492,54,39,0
b26,215,387.341446492,55,40,0
b27,388,152.341446492,65,25,1
b28,396,321.341446492,46,39,1
b29,97,159.341446492,62,24,1
b30,159,148.341446492,26,24,1
b31,0,162.341446492,34,26,1
b32,0,341.341446492,53,43,1
b33,352,301.341446492,35,22,1
b34,303,214.341446492,54,27,1
b35,0,227.341446492,38,31,1
b36,372,177.341446492,67,39,1
b37,0,56.341446492,60,20,1
b38,258,152.341446492,57,23,1
b39,0,402.341446492,55,52,1
b40,229,152.341446492,29,26,1
b41,248,217.341446492,55,27,1
b42,67,254.341446492,62,53,0
b43,57,76.341446492,61,46,0
b44,309,367.341446492,65,47,0
b45,185,152.341446492,44,23,1
b46,200,295.341446492,39,22,0
b47,103,329.341446492,65,33,0
b48,38,227.341446492,57,27,0
b49,387,60.341446492,65,47,1
b50,267,115.341446492,67,32,0
b51,338,0.341446492,57,38,1
b52,118,57.341446492,54,45,0
b53,124,307.341446492,43,21,0
b54,228,368.341446492,61,18,1
b55,229,71.341446492,56,34,1
b56,40,384.341446492,63,17,1
b57,130,39.341446492,47,18,1
b58,42,124.341446492,46,34,0
b59,161,0.341446492,50,37,0
b60,348,152.341446492,40,23,0
b61,315,151.341446492,33,23,0
b62,317,52.341446492,60,19,0
b63,334,115.341446492,45,36,1
b64,106,378.341446492,50,47,0
b65,0,0.341446492,57,56,0
b66,129,245.341446492,67,61,0
b67,395,0.341446492,44,40,0
b68,275,0.341446492,63,52,1
b69,95,217.341446492,54,27,0
b70,168,328.341446492,42,42,0
b71,288,305.341446492,64,22,0
b72,258,244.341446492,61,61,0
b73,0,258.341446492,67,61,1
b74,0,124.341446492,42,38,1
b75,377,40.341446492,28,19,1
b76,167,306.341446492,33,22,1
b77,319,244.341446492,66,57,0
b78,285,71.341446492,36,32,0
b79,57,0.341446492,60,41,0
b80,103,362.341446492,58,16,1
b81,53,341.341446492,50,40,1
b82,172,68.341446492,57,47,1
b83,62,319.341446492,22,16,0
b84,387,299.341446492,67,22,0
b85,405,40.341446492,25,20,1
b86,211,115.341446492,56,37,0
b87,117,0.341446492,44,39,1
b88,60,159.341446492,37,24,0
b89,210,217.341446492,38,27,0
b90,270,386.341446492,39,33,0
b91,155,115.341446492,56,33,0
b92,34,162.341446492,26,16,0
b93,307,175.341446492,65,35,0
b94,156,387.341446492,59,41,1
b95,229,52.341446492,51,19,0
b96,330,327.341446492,66,40,1
b97,161,370.341446492,67,17,1
b98,0,319.341446492,62,22,1
b99,374,367.341446492,66,49,1
