block,x,y,width,height,rotated
b0,247,100,27,15,0
b1,488,332,27,16,0
b2,273,472,22,26,0
b3,248,447,21,45,0
b4,349,242,40,45,0
b5,257,332,16,26,0
b6,133,450,38,27,0
b7,278,66,29,35,1
b8,495,444,21,36,0
b9,134,593,44,25,0
b10,468,497,31,15,1
b11,261,42,41,24,0
b12,389,242,17,19,0
b13,447,431,48,33,1
b14,345,66,44,21,0
b15,384,172,15,34,1
b16,69,175,42,45,1
b17,408,511,41,37,0
b18,0,416,43,44,0
b19,319,567,23,36,1
b20,211,409,17,13,1
b21,291,196,28,44,0
b22,406,267,35,29,0
b23,423,98,40,17,0
b24,455,143,24,18,1
b25,143,550,29,43,0
b26,273,445,18,27,1
b27,142,282,40,38,1
b28,268,254,24,12,0
b29,369,465,30,29,1
b30,341,372,28,20,1
b31,101,475,32,36,0
b32,155,493,19,22,0
b33,390,23,46,45,1
b34,283,281,12,29,1
b35,384,206,26,12,1
b36,234,115,30,27,1
b37,322,105,12,29,0
b38,61,0,21,19,0
b39,307,105,12,13,0
b40,404,98,19,47,0
b41,112,170,36,19,0
b42,89,109,25,46,1
b43,21,357,21,39,1
b44,322,134,27,24,0
b45,291,171,24,25,0
b46,70,574,13,19,1
b47,223,542,42,40,0
b48,221,273,28,34,0
b49,341,459,24,48,0
b50,252,395,14,19,1
b51,0,48,14,16,0
b52,52,523,18,37,1
b53,112,189,12,36,1
b54,447,394,30,34,0
b55,122,69,31,26,1
b56,14,96,46,31,0
b57,14,48,47,48,0
b58,316,441,25,25,0
b59,402,332,47,38,0
b60,174,504,39,16,0
b61,70,477,31,45,0
b62,61,19,36,46,1
b63,473,512,46,36,1
b64,61,65,15,33,1
b65,76,65,13,23,0
b66,223,582,45,42,1
b67,307,91,33,14,1
b68,230,216,28,45,0
b69,61,98,27,36,1
b70,406,218,45,16,1
b71,14,263,34,32,0
b72,389,68,15,32,1
b73,273,373,12,46,0
b74,177,454,34,43,1
b75,449,332,37,20,1
b76,431,582,39,36,0
b77,273,355,40,18,0
b78,395,152,42,16,0
b79,97,69,25,40,1
b80,319,603,36,15,0
b81,345,34,15,32,0
b82,42,365,24,39,1
b83,406,370,41,37,1
b84,182,339,38,34,1
b85,345,0,43,34,1
b86,358,318,44,39,1
b87,268,524,48,45,1
b88,402,296,44,29,1
b89,177,434,42,20,1
b90,349,148,46,24,0
b91,383,100,21,43,1
b92,130,405,47,45,1
b93,69,155,24,20,1
b94,408,450,31,19,0
b95,0,541,37,44,1
b96,258,179,33,46,1
b97,221,360,40,15,0
b98,114,157,35,13,1
b99,437,134,17,40,1
b100,477,287,44,45,0
b101,285,409,30,36,0
b102,48,293,40,36,0
b103,479,123,34,34,0
b104,292,254,42,14,0
b105,475,222,35,33,0
b106,319,527,33,12,1
b107,183,43,32,15,0
b108,399,168,38,37,1
b109,475,13,46,42,1
b110,449,352,39,42,0
b111,189,107,21,13,1
b112,126,235,30,25,0
b113,369,218,36,24,0
b114,234,66,44,34,1
b115,133,477,22,34,1
b116,319,539,19,28,1
b117,116,511,39,21,0
b118,278,317,44,38,0
b119,291,569,28,45,0
b120,27,163,36,36,1
b121,153,128,34,38,0
b122,43,445,43,20,0
b123,225,36,36,23,1
b124,95,361,35,31,1
b125,86,392,42,46,1
b126,369,411,22,12,0
b127,189,227,25,43,0
b128,178,550,28,44,1
b129,0,507,22,34,1
b130,360,34,30,26,0
b131,189,59,45,48,1
b132,116,588,18,39,0
b133,187,128,43,15,1
b134,177,375,47,34,1
b135,37,523,15,45,1
b136,261,358,12,37,1
b137,454,115,21,28,0
b138,488,348,28,42,1
b139,221,323,36,37,0
b140,114,225,12,43,0
b141,277,138,45,19,1
b142,182,274,27,37,0
b143,449,512,24,25,0
b144,455,161,40,15,1
b145,14,163,13,45,0
b146,443,464,48,33,0
b147,447,290,30,42,0
b148,349,220,18,20,0
b149,176,0,47,22,0
b150,198,182,23,31,0
b151,234,161,42,18,1
b152,155,477,19,16,1
b153,155,520,41,30,0
b154,51,234,17,22,1
b155,443,497,25,14,0
b156,341,392,16,28,1
b157,16,396,25,20,1
b158,54,465,13,23,1
b159,475,255,44,32,0
b160,258,225,16,27,1
b161,384,582,47,46,1
b162,337,287,18,31,1
b163,307,69,33,22,0
b164,54,329,41,36,1
b165,341,318,17,21,1
b166,408,548,36,34,1
b167,225,0,37,36,1
b168,447,249,24,41,0
b169,436,0,39,24,1
b170,355,578,29,45,0
b171,136,0,40,22,1
b172,323,281,13,27,1
b173,316,409,25,32,0
b174,406,407,16,43,1
b175,101,511,15,16,0
b176,436,24,38,33,1
b177,211,463,37,41,1
b178,436,115,17,19,0
b179,136,22,46,34,0
b180,296,484,19,40,0
b181,295,281,28,30,1
b182,124,189,45,24,0
b183,156,235,33,39,0
b184,316,466,25,46,1
b185,455,188,27,34,0
b186,355,287,33,31,1
b187,307,33,38,36,1
b188,368,494,40,37,1
b189,455,176,44,12,0
b190,14,236,37,27,0
b191,153,166,34,16,1
b192,114,109,29,48,0
b193,116,532,33,17,0
b194,14,208,13,28,1
b195,291,158,33,13,0
b196,43,404,41,41,1
b197,230,179,28,37,1
b198,448,57,48,19,0
b199,69,220,36,31,1
b200,477,394,43,37,0
b201,169,182,29,26,1
b202,369,372,34,39,0
b203,369,172,15,28,0
b204,406,234,41,33,0
b205,257,317,21,15,0
b206,27,199,42,35,0
b207,482,188,28,33,1
b208,455,222,20,27,1
b209,285,373,45,36,0
b210,48,269,13,24,0
b211,67,465,16,12,0
b212,183,22,42,21,1
b213,189,213,32,14,0
b214,0,490,27,17,1
b215,196,520,21,29,1
b216,369,423,19,42,1
b217,349,172,20,48,0
b218,391,411,15,43,1
b219,36,329,18,28,1
b220,277,101,30,37,0
b221,292,268,45,13,1
b222,177,409,34,25,0
b223,126,260,19,22,1
b224,33,465,21,45,1
b225,479,76,38,47,1
b226,295,445,16,39,1
b227,475,0,32,13,1
b228,69,134,20,21,1
b229,228,388,24,48,0
b230,0,460,33,30,1
b231,0,348,16,30,0
b232,388,0,42,23,0
b233,341,339,16,13,0
b234,390,531,18,33,1
b235,342,556,46,22,1
b236,116,549,27,39,0
b237,449,537,21,40,0
b238,341,420,27,39,0
b239,14,295,22,40,1
b240,273,498,23,19,0
b241,470,615,24,13,1
b242,126,213,40,22,1
b243,86,438,34,37,1
b244,423,115,13,37,1
b245,470,548,36,24,0
b246,268,569,23,44,0
b247,95,325,39,36,1
b248,470,572,31,43,1
b249,83,574,27,35,1
b250,349,117,34,31,1
b251,134,371,43,34,0
b252,95,290,19,28,0
b253,228,375,15,13,0
b254,495,431,24,13,0
b255,97,22,39,47,1
b256,0,335,21,13,0
b257,252,414,17,33,0
b258,249,273,34,44,1
b259,36,295,12,26,1
b260,319,192,19,12,0
b261,319,204,12,45,0
b262,134,344,48,27,1
b263,70,527,46,47,1
b264,178,594,45,23,0
b265,357,357,45,15,0
b266,0,0,45,48,0
b267,187,143,34,39,0
b268,368,531,22,25,0
b269,437,174,18,37,1
b270,316,512,23,15,0
b271,262,0,24,42,1
b272,142,320,35,24,1
b273,349,87,21,30,0
b274,37,568,33,21,0
b275,199,311,22,28,0
b276,274,240,31,14,0
b277,221,261,47,12,1
b278,27,510,42,13,1
b279,69,251,43,39,1
b280,97,0,31,22,0
b281,153,69,30,18,0
b282,404,68,44,30,0
b283,234,100,13,15,0
b284,319,171,30,21,0
b285,248,492,13,33,0
b286,153,87,36,41,0
b287,422,407,21,42,1
b288,14,127,28,36,0
b289,0,585,33,37,0
b290,219,436,16,27,0
b291,114,282,28,43,0
b292,33,593,39,24,1
b293,234,142,43,19,0
b294,182,311,17,26,0
b295,136,56,43,13,0
b296,221,307,27,16,1
b297,217,504,31,38,1
b298,302,0,40,33,1
b299,51,256,13,13,0
