block,x,y,width,height,rotated
b0,57,121,33,43,1
b1,250,398,65,37,0
b2,90,121,53,34,0
b3,0,295,67,37,1
b4,290,342,29,19,0
b5,250,160,49,39,1
b6,279,52,40,18,0
b7,67,306,40,22,1
b8,299,2,62,50,1
b9,26,276,41,16,1
b10,0,53,52,18,1
b11,271,118,59,39,1
b12,143,125,61,28,0
b13,251,70,57,48,1
b14,151,298,63,43,0
b15,327,284,59,52,0
b16,299,159,57,36,1
b17,118,155,66,44,1
b18,0,71,51,48,1
b19,24,245,50,31,1
b20,356,160,37,19,0
b21,369,369,64,50,0
b22,74,245,49,34,0
b23,304,263,49,20,1
b24,1,365,45,28,0
b25,123,240,54,39,0
b26,102,390,55,40,0
b27,177,204,65,25,1
b28,281,303,46,39,1
b29,242,259,62,24,1
b30,71,279,24,26,0
b31,46,365,34,26,1
b32,0,199,53,43,1
b33,353,262,35,22,1
b34,373,86,54,27,1
b35,201,33,31,38,0
b36,214,301,67,39,1
b37,163,341,60,20,1
b38,123,367,57,23,1
b39,2,147,55,52,1
b40,407,336,29,26,1
b41,95,279,55,27,1
b42,0,0,62,53,0
b43,57,164,61,46,0
b44,177,229,65,47,0
b45,319,342,44,23,1
b46,396,157,39,22,0
b47,89,88,65,33,0
b48,0,120,57,27,0
b49,308,71,65,47,1
b50,204,121,67,32,0
b51,193,398,57,38,1
b52,315,387,54,45,0
b53,80,367,43,21,0
b54,229,283,61,18,1
b55,379,52,56,34,1
b56,0,332,63,17,1
b57,232,52,47,18,1
b58,388,262,46,34,0
b59,154,88,50,37,0
b60,161,63,40,23,0
b61,180,361,33,23,0
b62,319,52,60,19,0
b63,157,390,36,45,0
b64,204,71,47,50,1
b65,62,0,57,56,0
b66,119,0,67,61,0
b67,396,113,40,44,1
b68,361,0,63,52,1
b69,107,61,54,27,0
b70,60,391,42,42,0
b71,369,240,64,22,0
b72,369,179,61,61,0
b73,308,195,61,67,0
b74,51,78,38,42,0
b75,201,276,28,19,1
b76,74,56,33,22,1
b77,242,202,66,57,0
b78,213,361,32,36,1
b79,0,393,60,41,0
b80,2,349,58,16,1
b81,386,296,50,40,1
b82,242,5,57,47,1
b83,52,62,22,16,0
b84,301,365,67,22,0
b85,290,283,25,20,1
b86,245,361,56,37,0
b87,107,306,44,39,1
b88,0,242,24,37,1
b89,63,332,38,27,0
b90,368,336,39,33,0
b91,186,0,56,33,0
b92,0,279,26,16,0
b93,53,210,65,35,0
b94,118,199,59,41,1
b95,150,279,51,19,0
b96,330,119,66,40,1
b97,223,344,67,17,1
b98,101,345,62,22,1
b99,184,153,66,49,1
