block,x,y,width,height,rotated
b0,163,395,36,16,0
b1,91,340,39,19,1
b2,405,346,41,35,0
b3,400,115,47,18,1
b4,246,296,32,26,1
b5,284,389,35,31,0
b6,327,98,29,13,0
b7,288,211,28,21,0
b8,56,279,32,15,0
b9,172,235,46,34,0
b10,54,404,45,32,0
b11,277,88,36,14,1
b12,206,131,42,36,1
b13,269,344,48,45,0
b14,48,207,25,15,1
b15,185,0,46,45,1
b16,323,112,22,18,1
b17,374,46,33,26,0
b18,289,111,34,19,0
b19,224,266,30,12,0
b20,361,383,33,28,1
b21,361,344,44,39,0
b22,0,47,39,26,1
b23,160,298.5,40,25,0
b24,424,184,25,15,0
b25,0,249,36,36,0
b26,39,47,43,25,0
b27,88,279,34,15,0
b28,135,357,46,38,0
b29,254,266,37,12,1
b30,286,167,27,17,1
b31,188,281,37,16,0
b32,132,208,32,23,1
b33,228,45,36,18,1
b34,288,325,38,19,1
b35,0,104,33,15,1
b36,413,257,28,12,0
b37,316,216,21,16,1
b38,313,169,33,26,0
b39,325,68,42,30,1
b40,278,297,41,28,1
b41,191,115,16,16,0
b42,293,44,44,19,1
b43,218,232,40,34,0
b44,323,281,27,16,0
b45,33,104,37,14,1
b46,0,208,48,15,0
b47,315,195,23,14,0
b48,182,70,26,24,1
b49,42,72,40,31,0
b50,248,134,42,33,1
b51,199,387,48,27,1
b52,346,169,37,27,1
b53,140,290,18,17,1
b54,370,281,43,16,0
b55,400,102,46,13,1
b56,364,210,25,22,1
b57,161,324,48,19,1
b58,37,343,41,19,1
b59,0,370,46,46,0
b60,0,320,35,30,1
b61,48,140,34,33,1
b62,333,132,45,37,1
b63,174,98,35,15,1
b64,0,0,48,47,1
b65,99,400,33,30,1
b66,132,400,31,31,0
b67,317,344,44,37,0
b68,365,297,35,24,0
b69,326,325,38,19,1
b70,221,194,36,14,0
b71,325,235,42,34,0
b72,291,232,34,33,0
b73,56,294,38,18,1
b74,264,45,29,18,0
b75,261,210,27,23,1
b76,160,99,14,12,0
b77,32,297,24,16,0
b78,0,223,43,26,1
b79,251,325,37,19,1
b80,262,88,15,14,1
b81,0,300,32,20,0
b82,258,233,33,32,1
b83,247,389,37,19,1
b84,290,130,43,37,0
b85,0,144,48,37,0
b86,237,208,24,24,0
b87,403,325,45,19,0
b88,208,66,43,28,1
b89,153,269,35,12,1
b90,164,211,45,24,0
b91,116,310,44,28,0
b92,32,183,42,24,0
b93,185,45,43,21,0
b94,0,285,16,15,1
b95,0,119,36,25,0
b96,404,73,45,25,1
b97,36,249,28,25,1
b98,94,294,26,16,1
b99,0,350,37,20,0
b100,337,210,27,25,0
b101,48,2,48,40,1
b102,287,63,38,25,1
b103,0,416,32,32,0
b104,253,107,36,25,0
b105,0,73,42,31,0
b106,231,6.5,39,34,1
b107,36,118,45,16,0
b108,118,196,33,12,0
b109,361,269,22,12,1
b110,43,223,44,23,0
b111,244,94,18,13,0
b112,207,113,46,18,1
b113,400,297,43,28,0
b114,364,325,39,19,0
b115,367,72,37,30,0
b116,315,5,42,37,1
b117,74,175,37,24,1
b118,402,222,39,35,0
b119,251,64,36,24,1
b120,73,207,45,15,1
b121,394,383,45,32,1
b122,35,313,43,30,0
b123,209,94,35,13,1
b124,385,184,39,13,1
b125,209,211,28,18,1
b126,78,312,38,28,0
b127,81,116,22,24,1
b128,149,42,36,25,0
b129,181,343,46,44,1
b130,270,0,45,44,1
b131,113,44,36,20,0
b132,408,168,38,16,0
b133,313,99,14,12,0
b134,413,269,29,16,0
b135,184,196,37,15,1
b136,131,172,24,19,0
b137,264,278,22,18,0
b138,195,172,30,22,0
b139,149,67,33,31,0
b140,257,189,16,12,1
b141,389,197,34,25,1
b142,200,297,46,27,1
b143,96,0,46,44,0
b144,162,113,29,25,1
b145,378,133,45,34,0
b146,64,246,34,33,1
b147,122,278,31,12,1
b148,383,167,25,17,1
b149,32,416,22,22,0
b150,158,281,30,13,1
b151,345,115,27,16,1
b152,139,235,33,33,0
b153,16,285,40,12,0
b154,46,362,44,42,1
b155,78,340,13,12,1
b156,209,324,42,19,1
b157,118,98,42,12,0
b158,372,115,28,17,0
b159,113,64,36,24,1
b160,291,269,36,12,1
b161,130,338,31,19,1
b162,383,266,30,12,0
b163,400,0,47,46,1
b164,0,181,32,27,0
b165,98,245,41,33,0
b166,188,269,36,12,0
b167,338,196,47,14,0
b168,337,42,37,25,0
b169,319,297,46,28,0
b170,87,222,45,22,1
b171,367,232,35,34,0
b172,82,47,31,25,0
b173,319,381,42,22,0
b174,423,202,25,20,0
b175,327,269,34,12,0
b176,120,294,20,16,0
b177,82,73,31,21,1
b178,350,281,20,16,0
b179,90,359,45,41,0
b180,225,170,21,19,1
b181,273,195,42,15,1
b182,151,196,33,12,0
b183,286,281,37,16,0
b184,111,175,20,19,0
b185,356,102,44,13,1
b186,70,103,48,13,1
b187,423,133,24,22,1
b188,155,172,40,24,1
b189,131,111,31,20,0
b190,129,138,37,34,0
b191,227,344,42,37,0
b192,103,116,28,22,1
b193,142,0,43,42,1
b194,357,0,43,42,1
b195,407,47,36,25,1
b196,225,278,39,16,0
b197,82,140,47,35,0
b198,246,167,40,22,1
b199,166,138,40,34,1
