block,x,y,width,height,rotated
b0,280,375,36,16,0
b1,136,396,39,19,1
b2,342,149,41,35,0
b3,0,0,47,18,1
b4,180,19,32,26,1
b5,351,345,35,31,0
b6,0,92,29,13,0
b7,229,184,28,21,0
b8,76,208,32,15,0
b9,188,314,46,34,0
b10,33,354,45,32,0
b11,344,206,36,14,1
b12,174,148,42,36,1
b13,295,45,48,45,0
b14,39,386,25,15,1
b15,158,45,46,45,1
b16,407,130,22,18,1
b17,398,19,33,26,0
b18,289,128,34,19,0
b19,151,92,30,12,0
b20,398,281,33,28,1
b21,259,244,44,39,0
b22,95,19,39,26,1
b23,162,104,40,25,0
b24,397,375,25,15,0
b25,306,147,36,36,0
b26,29,104,43,25,0
b27,42,209,34,15,0
b28,213,244,46,38,0
b29,84,92,37,12,1
b30,196,1,27,17,1
b31,171,380,37,16,0
b32,125,222,32,23,1
b33,100,400,36,18,1
b34,227,128,38,19,1
b35,316,375,33,15,1
b36,357,91,28,12,0
b37,175,2,21,16,1
b38,328,19,33,26,0
b39,272,345,42,30,1
b40,236,283,41,28,1
b41,151,349,16,16,0
b42,162,129,44,19,1
b43,276,311,40,34,0
b44,130,2,27,16,0
b45,108,208,37,14,1
b46,349,376,48,15,0
b47,274,206,23,14,0
b48,136,105,26,24,1
b49,78,353,40,31,0
b50,234,311,42,33,1
b51,0,18,48,27,1
b52,361,18,37,27,1
b53,94,73,18,17,1
b54,272,2,43,16,0
b55,380,206,46,13,1
b56,341,184,25,22,1
b57,204,396,48,19,1
b58,31,402,41,19,1
b59,112,45,46,46,0
b60,76,290,35,30,1
b61,39,320,34,33,1
b62,216,147,45,37,1
b63,208,379,35,15,1
b64,0,45,48,47,1
b65,0,290,33,30,1
b66,167,349,31,31,0
b67,388,244,44,37,0
b68,363,220,35,24,0
b69,357,391,38,19,1
b70,145,206,36,14,0
b71,316,311,42,34,0
b72,358,309,34,33,0
b73,92,0,38,18,1
b74,175,396,29,18,0
b75,272,221,27,23,1
b76,216,91,14,12,0
b77,64,386,24,16,0
b78,285,19,43,26,1
b79,274,392,37,19,1
b80,285,114,15,14,1
b81,68,129,32,20,0
b82,0,354,33,32,1
b83,395,391,37,19,1
b84,345,244,43,37,0
b85,42,149,48,37,0
b86,299,220,24,24,0
b87,362,130,45,19,0
b88,111,287,43,28,1
b89,87,420,35,12,1
b90,80,223,45,24,0
b91,192,282,44,28,0
b92,194,220,42,24,0
b93,186,184,43,21,0
b94,79,30,16,15,1
b95,327,103,36,25,0
b96,240,103,45,25,1
b97,108,104,28,25,1
b98,88,384,26,16,1
b99,31,129,37,20,0
b100,300,103,27,25,0
b101,87,247,48,40,1
b102,202,103,38,25,1
b103,240,344,32,32,0
b104,212,20,36,25,0
b105,198,348,42,31,0
b106,0,320,39,34,1
b107,47,2,45,16,0
b108,155,415,33,12,0
b109,335,91,22,12,1
b110,36,224,44,23,0
b111,157,5,18,13,0
b112,311,391,46,18,1
b113,355,281,43,28,0
b114,323,128,39,19,0
b115,314,345,37,30,0
b116,303,244,42,37,1
b117,157,220,37,24,1
b118,383,149,39,35,0
b119,0,224,36,24,1
b120,181,205,45,15,1
b121,386,343,45,32,1
b122,33,290,43,30,0
b123,181,90,35,13,1
b124,230,90,39,13,1
b125,72,402,28,18,1
b126,154,286,38,28,0
b127,50,186,24,22,0
b128,72,104,36,25,0
b129,204,46,46,44,1
b130,250,46,45,44,1
b131,119,186,36,20,0
b132,315,2,38,16,0
b133,287,183,14,12,0
b134,243,2,29,16,0
b135,134,380,37,15,1
b136,265,128,24,19,0
b137,252,392,22,18,0
b138,257,184,30,22,0
b139,118,349,33,31,0
b140,0,421,16,12,1
b141,363,104,34,25,1
b142,134,18,46,27,1
b143,48,46,46,44,0
b144,0,105,29,25,1
b145,261,149,45,34,0
b146,114,315,34,33,1
b147,56,421,31,12,1
b148,353,1,25,17,1
b149,28,187,22,22,0
b150,121,91,30,13,1
b151,378,2,27,16,1
b152,180,244,33,33,0
b153,16,421,40,12,0
b154,43,248,44,42,1
b155,29,92,13,12,1
b156,120,130,42,19,1
b157,42,92,42,12,0
b158,405,1,28,17,0
b159,236,220,36,24,1
b160,269,91,36,12,1
b161,0,402,31,19,1
b162,305,91,30,12,0
b163,386,45,47,46,1
b164,323,281,32,27,0
b165,73,320,41,33,0
b166,188,415,36,12,0
b167,297,206,47,14,0
b168,248,20,37,25,0
b169,277,283,46,28,0
b170,74,186,45,22,1
b171,392,309,35,34,0
b172,48,20,31,25,0
b173,366,184,42,22,0
b174,408,185,25,20,0
b175,224,415,34,12,0
b176,114,384,20,16,0
b177,155,184,31,21,1
b178,223,2,20,16,0
b179,135,245,45,41,0
b180,206,128,21,19,1
b181,0,209,42,15,1
b182,122,418,33,12,0
b183,243,376,37,16,0
b184,100,130,20,19,0
b185,385,91,44,13,1
b186,226,207,48,13,1
b187,398,220,24,22,1
b188,323,220,40,24,1
b189,0,130,31,20,0
b190,137,150,37,34,0
b191,0,150,42,37,0
b192,0,187,28,22,1
b193,0,248,43,42,1
b194,343,47,43,42,1
b195,397,104,36,25,1
b196,0,386,39,16,0
b197,90,151,47,35,0
b198,301,183,40,22,1
b199,148,315,40,34,1
