block,x,y,width,height,rotated
b0,268,348,36,16,0
b1,256,226,19,39,0
b2,328,134,35,41,1
b3,146,129,18,47,0
b4,188,285,32,26,1
b5,454,189,35,31,0
b6,424,45,13,29,1
b7,491,108,28,21,0
b8,0,187,15,32,1
b9,444,143,46,34,0
b10,87,251,45,32,0
b11,25,158,36,14,1
b12,37,285,42,36,1
b13,438,293,45,48,1
b14,141,251,15,25,0
b15,206,114,46,45,1
b16,234,201,22,18,1
b17,168,251,26,33,1
b18,280,132,34,19,0
b19,141,208,30,12,0
b20,536,157,28,33,0
b21,97,283,44,39,0
b22,40,14,39,26,1
b23,491,263,25,40,1
b24,72,323,25,15,0
b25,385,337,36,36,0
b26,504,0,43,25,0
b27,547,0,15,34,1
b28,177,316,46,38,0
b29,146,92,12,37,0
b30,183,178,17,27,0
b31,275,231,37,16,0
b32,206,262,32,23,1
b33,259,28,18,36,0
b34,256,188,19,38,0
b35,146,19,15,33,0
b36,206,175,28,12,0
b37,206,159,21,16,1
b38,299,175,33,26,0
b39,389,303,42,30,1
b40,507,351,41,28,1
b41,110,56,16,16,1
b42,324,0,44,19,1
b43,146,52,34,40,1
b44,438,277,27,16,0
b45,40,0,37,14,1
b46,376,226,48,15,0
b47,519,281,14,23,1
b48,421,351,26,24,1
b49,0,0,31,40,1
b50,87,142,42,33,1
b51,180,38,27,48,0
b52,0,40,27,37,0
b53,421,333,17,18,0
b54,130,142,16,43,1
b55,473,220,13,46,0
b56,15,272,22,25,0
b57,424,258,48,19,1
b58,146,0,41,19,1
b59,87,205,46,46,0
b60,407,158,30,35,0
b61,164,129,34,33,1
b62,518,48,45,37,1
b63,467,34,15,35,0
b64,516,304,48,47,1
b65,66,68,33,30,1
b66,376,173,31,31,1
b67,399,74,44,37,0
b68,99,72,35,24,0
b69,454,220,19,38,0
b70,275,247,36,14,0
b71,66,98,34,42,1
b72,324,19,34,33,0
b73,97,322,38,18,1
b74,363,131,29,18,0
b75,314,335,23,27,0
b76,35,354,14,12,0
b77,49,354,16,24,1
b78,40,82,26,43,0
b79,543,210,19,37,0
b80,440,189,14,15,0
b81,275,188,20,32,1
b82,146,176,33,32,1
b83,357,191,19,37,0
b84,256,151,43,37,0
b85,280,95,48,37,0
b86,519,217,24,24,1
b87,424,0,19,45,1
b88,259,0,43,28,1
b89,0,344,35,12,1
b90,491,177,45,24,0
b91,66,40,44,28,0
b92,40,40,24,42,1
b93,66,140,21,43,1
b94,141,276,15,16,0
b95,50,207,36,25,0
b96,177,354,45,25,1
b97,247,64,28,25,1
b98,491,92,26,16,1
b99,491,157,37,20,0
b100,332,206,25,27,1
b101,219,0,40,48,0
b102,187,0,25,38,0
b103,156,284,32,32,1
b104,482,48,36,25,0
b105,141,220,42,31,0
b106,447,341,39,34,1
b107,491,201,45,16,0
b108,446,124,33,12,0
b109,207,38,12,22,0
b110,328,68,23,44,1
b111,363,173,13,18,1
b112,268,364,46,18,1
b113,290,307,43,28,0
b114,407,124,39,19,0
b115,295,201,37,30,0
b116,135,341,42,37,1
b117,443,14,24,37,0
b118,25,172,39,35,0
b119,363,149,36,24,1
b120,324,53,45,15,1
b121,91,0,45,32,1
b122,87,175,43,30,0
b123,37,321,35,13,1
b124,443,111,39,13,1
b125,219,48,28,18,1
b126,206,86,38,28,0
b127,0,77,24,22,0
b128,141,316,36,25,0
b129,100,96,44,46,0
b130,342,246,44,45,0
b131,111,340,20,36,1
b132,24,77,16,38,1
b133,443,0,12,14,1
b134,483,303,29,16,0
b135,407,143,37,15,1
b136,483,319,24,19,0
b137,223,361,22,18,0
b138,525,135,30,22,0
b139,363,100,33,31,0
b140,220,285,16,12,1
b141,491,129,34,25,1
b142,65,354,46,27,1
b143,298,261,44,46,1
b144,0,158,25,29,0
b145,379,22,45,34,0
b146,519,247,33,34,0
b147,74,340,31,12,1
b148,280,28,17,25,0
b149,386,266,22,22,0
b150,37,272,30,13,1
b151,525,119,27,16,1
b152,407,193,33,33,0
b153,79,283,12,40,1
b154,280,53,44,42,1
b155,156,251,12,13,0
b156,256,265,42,19,1
b157,444,177,42,12,0
b158,351,68,28,17,0
b159,110,32,36,24,1
b160,194,236,12,36,0
b161,238,284,31,19,1
b162,79,0,12,30,1
b163,342,291,47,46,1
b164,55,232,32,27,0
b165,24,125,41,33,0
b166,440,204,12,36,1
b167,515,34,47,14,0
b168,164,92,25,37,1
b169,491,217,28,46,1
b170,268,303,22,45,0
b171,525,85,35,34,0
b172,25,207,25,31,1
b173,234,159,22,42,1
b174,536,190,25,20,0
b175,358,19,12,34,1
b176,65,183,20,16,0
b177,183,205,21,31,0
b178,183,162,20,16,0
b179,223,316,41,45,1
b180,491,73,21,19,1
b181,351,85,42,15,1
b182,482,34,33,12,0
b183,408,266,16,37,1
b184,472,266,19,20,1
b185,312,233,44,13,1
b186,220,303,48,13,1
b187,297,28,24,22,1
b188,256,89,24,40,0
b189,332,175,20,31,1
b190,467,0,37,34,0
b191,443,69,37,42,1
b192,328,112,28,22,1
b193,206,219,42,43,0
b194,342,337,43,42,1
b195,386,241,36,25,1
b196,35,338,39,16,0
b197,0,297,35,47,1
b198,379,0,40,22,1
b199,15,238,40,34,1
