block,x,y,width,height,rotated
b0,380.486841951,333.486841951,27,15,0
b1,258.486841951,288.486841951,27,16,0
b2,147.486841951,448.486841951,26,22,1
b3,459.486841951,70.486841951,45,21,1
b4,220.486841951,415.486841951,45,40,1
b5,31.486841951,142.486841951,26,16,1
b6,175.486841951,152.486841951,38,27,0
b7,412.486841951,305.486841951,35,29,0
b8,260.486841951,58.486841951,21,36,0
b9,30.486841951,160.486841951,44,25,0
b10,200.486841951,289.486841951,31,15,1
b11,198.486841951,263.486841951,41,24,0
b12,206.486841951,234.486841951,19,17,1
b13,249.486841951,25.486841951,48,33,1
b14,358.486841951,243.486841951,44,21,0
b15,353.486841951,352.486841951,34,15,0
b16,0.486841951,424.486841951,45,42,0
b17,211.486841951,456.486841951,41,37,0
b18,424.486841951,188.486841951,44,43,1
b19,321.486841951,381.486841951,36,23,0
b20,33.486841951,129.486841951,17,13,1
b21,111.486841951,295.486841951,44,28,1
b22,519.486841951,294.486841951,35,29,0
b23,387.486841951,288.486841951,40,17,0
b24,248.486841951,524.486841951,24,18,1
b25,294.486841951,304.486841951,43,29,1
b26,467.486841951,161.486841951,27,18,0
b27,0.486841951,466.486841951,40,38,1
b28,247.486841951,374.486841951,24,12,0
b29,0.486841951,160.486841951,30,29,1
b30,225.486841951,243.486841951,28,20,1
b31,327.486841951,485.486841951,36,32,1
b32,488.486841951,234.486841951,22,19,1
b33,48.486841951,186.486841951,46,45,1
b34,271.486841951,369.486841951,29,12,0
b35,493.486841951,283.486841951,26,12,1
b36,424.486841951,388.486841951,30,27,1
b37,324.486841951,352.486841951,29,12,1
b38,238.486841951,337.486841951,21,19,0
b39,50.486841951,126.986841951,13,12,1
b40,156.486841951,527.486841951,47,19,1
b41,162.486841951,66.486841951,36,19,0
b42,192.486841951,337.486841951,46,25,0
b43,0.486841951,236.486841951,39,21,0
b44,120.486841951,461.486841951,27,24,0
b45,451.486841951,457.486841951,25,24,1
b46,484.486841951,129.486841951,19,13,0
b47,396.486841951,415.486841951,42,40,0
b48,287.486841951,381.486841951,34,28,1
b49,505.486841951,254.486841951,48,24,1
b50,121.486841951,121.486841951,19,14,0
b51,278.486841951,309.486841951,16,14,1
b52,485.486841951,142.486841951,37,18,0
b53,186.486841951,123.486841951,36,12,0
b54,0.486841951,299.486841951,34,30,1
b55,101,390.486841951,31,26,1
b56,203.486841951,33.486841951,46,31,0
b57,0.486841951,189.486841951,48,47,1
b58,438.486841951,415.486841951,25,25,0
b59,45.486841951,415.486841951,47,38,0
b60,297.486841951,154.486841951,39,16,0
b61,281.486841951,108.486841951,45,31,1
b62,197.486841951,85.486841951,46,36,0
b63,347.486841951,0.486841951,46,36,1
b64,524.986841951,357.486841951,33,15,0
b65,163.486841951,123.486841951,23,13,1
b66,463.486841951,415.486841951,45,42,1
b67,0,128.486841951,33,14,1
b68,367.486841951,305.486841951,45,28,1
b69,488.486841951,388.486841951,36,27,0
b70,315.486841951,288.486841951,45,16,1
b71,447.486841951,37.486841951,34,32,0
b72,54.486841951,279.486841951,32,15,0
b73,499.486841951,375.486841951,46,12,1
b74,83.486841951,87.486841951,43,34,0
b75,407.486841951,334.486841951,37,20,1
b76,442.486841951,91.486841951,39,36,0
b77,272.486841951,524.486841951,40,18,0
b78,46.486841951,530.486841951,42,16,0
b79,61,390.486841951,40,25,0
b80,40.486841951,345.486841951,36,15,0
b81,136.486841951,362.486841951,32,15,1
b82,394.486841951,264.486841951,39,24,0
b83,479.486841951,0.486841951,41,37,1
b84,114,495.486841951,38,34,1
b85,0,504.486841951,43,34,1
b86,508.486841951,417.486841951,44,39,1
b87,235.486841951,198.486841951,48,45,1
b88,250.486841951,169.486841951,44,29,1
b89,510.486841951,234.486841951,42,20,1
b90,309.486841951,264.486841951,46,24,0
b91,46.486841951,37.486841951,43,21,0
b92,468.486841951,189.486841951,47,45,1
b93,253.486841951,243.486841951,24,20,1
b94,259.486841951,337.486841951,31,19,0
b95,40.486841951,466.486841951,44,37,0
b96,0.486841951,37.486841951,46,33,0
b97,387.486841951,354.486841951,40,15,0
b98,440.486841951,375.486841951,35,13,1
b99,453.486841951,277.486841951,40,17,0
b100,515.486841951,190.486841951,45,44,1
b101,524.486841951,387.486841951,36,30,1
b102,82.486841951,0.486841951,40,36,0
b103,365.486841951,90.486841951,34,34,0
b104,394.486841951,125.486841951,42,14,0
b105,126.486841951,88.486841951,35,33,0
b106,305.486841951,142.486841951,33,12,1
b107,104.486841951,362.486841951,32,15,0
b108,173.486841951,456.486841951,38,37,1
b109,189.486841951,188.486841951,46,42,1
b110,312.486841951,409.486841951,42,39,1
b111,135.486841951,377.486841951,21,13,1
b112,212.486841951,390.486841951,30,25,0
b113,120.486841951,253.486841951,36,24,0
b114,502.486841951,495.486841951,44,34,1
b115,77.486841951,301.486841951,34,22,0
b116,164.486841951,332.486841951,28,19,0
b117,277.486841951,243.486841951,39,21,0
b118,476.486841951,457.486841951,44,38,0
b119,363.486841951,485.486841951,45,28,1
b120,161.486841951,87.486841951,36,36,0
b121,243.486841951,94.486841951,38,34,1
b122,37.486841951,325.486841951,43,20,0
b123,43,503.486841951,36,23,1
b124,168.486841951,33.486841951,35,31,1
b125,283.486841951,201.486841951,46,42,0
b126,236.486841951,362.486841951,22,12,0
b127,34.486841951,299.486841951,43,25,1
b128,133.486841951,420.486841951,44,28,0
b129,429.486841951,481.486841951,34,22,0
b130,357.486841951,383.486841951,30,26,0
b131,141.486841951,180.486841951,48,45,0
b132,383.486841951,142.486841951,39,18,1
b133,470.486841951,360.486841951,43,15,1
b134,152,493.486841951,47,34,1
b135,146.486841951,136.486841951,45,15,0
b136,268.486841951,139.486841951,37,12,0
b137,33,393.486841951,28,21,1
b138,155.486841951,304.486841951,42,28,0
b139,0.486841951,92.486841951,37,36,1
b140,427.486841951,360.486841951,43,12,1
b141,315.486841951,333.486841951,45,19,1
b142,430.486841951,161.486841951,37,27,1
b143,405.486841951,162.486841951,25,24,1
b144,0.486841951,365.486841951,40,15,1
b145,258.486841951,356.486841951,45,13,1
b146,230.486841951,304.486841951,48,33,0
b147,122.486841951,332.486841951,42,30,1
b148,360.486841951,333.486841951,20,18,1
b149,0.486841951,70.486841951,47,22,0
b150,433.486841951,253.486841951,31,23,1
b151,135.486841951,225.486841951,42,18,1
b152,250.486841951,151.486841951,19,16,1
