block,x,y,width,height,rotated
b0,318,308,33,43,1
b1,225,56,37,65,1
b2,284,293,34,53,1
b3,0,281,37,67,0
b4,306,198,19,29,1
b5,37,379,49,39,1
b6,0,0,18,40,1
b7,122,258,22,40,0
b8,59,59,50,62,0
b9,406,386,41,16,1
b10,58,418,18,52,0
b11,86,0,39,59,0
b12,55,229,28,61,1
b13,198,278,57,48,1
b14,341,151,63,43,0
b15,272,386,52,59,1
b16,197,326,57,36,1
b17,375,316,66,44,1
b18,332,0,51,48,1
b19,148,280,50,31,1
b20,115,151,19,37,1
b21,344,48,64,50,0
b22,191,184,34,49,1
b23,383,0,49,20,1
b24,370,231,28,45,1
b25,404,210,39,54,1
b26,375,276,55,40,0
b27,83,233,65,25,1
b28,225,121,46,39,1
b29,383,20,62,24,1
b30,284,76,26,24,1
b31,406,360,34,26,1
b32,148,227,43,53,0
b33,148,184,22,35,0
b34,257,238,27,54,0
b35,318,351,38,31,1
b36,145,384,39,67,0
b37,427,150,20,60,0
b38,284,238,57,23,1
b39,145,311,52,55,0
b40,122,188,26,29,0
b41,143,451,55,27,1
b42,349,98,62,53,0
b43,86,407,46,61,1
b44,359,360,47,65,1
b45,23,170,23,44,0
b46,0,348,22,39,1
b47,380,444,65,33,0
b48,59,0,27,57,1
b49,37,314,47,65,0
b50,23,214,32,67,1
b51,294,0,38,57,0
b52,326,425,54,45,0
b53,170,184,21,43,1
b54,411,89,18,61,0
b55,203,0,34,56,0
b56,125,0,17,63,0
b57,167,366,47,18,1
b58,109,117,46,34,0
b59,46,170,50,37,0
b60,84,121,23,40,1
b61,0,170,23,33,1
b62,284,57,60,19,0
b63,411,44,36,45,0
b64,320,261,50,47,0
b65,142,61,57,56,0
b66,184,384,61,67,1
b67,262,198,44,40,0
b68,289,135,52,63,0
b69,272,445,54,27,0
b70,406,402,42,42,0
b71,225,160,64,22,0
b72,142,0,61,61,1
b73,155,117,61,67,0
b74,84,258,38,42,0
b75,96,161,19,28,0
b76,0,387,33,22,1
b77,86,341,57,66,1
b78,284,261,36,32,0
b79,18,0,41,60,1
b80,411,150,16,58,0
b81,257,346,50,40,1
b82,237,0,57,47,1
b83,145,366,22,16,0
b84,55,207,67,22,0
b85,33,418,25,20,1
b86,225,182,37,56,1
b87,0,438,44,39,1
b88,37,290,37,24,0
b89,257,292,27,38,1
b90,326,382,33,39,1
b91,325,198,56,33,0
b92,122,217,26,16,0
b93,284,100,65,35,0
b94,86,300,59,41,1
b95,356,308,19,51,1
b96,191,238,66,40,1
b97,255,386,17,67,0
b98,262,47,22,62,0
b99,18,121,66,49,1
